Urban classification;number of warehouses;US$/m2/year;Cluster
central;2557;111,5392488201486;NA
pericentral;458;97,0157005714629;NA
suburban;5;79,9291920000000;NA
central;594;90,7486951285690;1
central;979;101,0597186640347;2
central;616;138,2649520989286;3
central;368;128,2403784285870;4
pericentral;66;84,3770389090909;1
pericentral;134;105,2967563689105;2
pericentral;110;103,3193024418182;3
pericentral;148;90,4690383222703;4
suburban;2;107,8552800000000;1
suburban;1;71,0424000000000;2
suburban;2;56,4465000000000;4
